"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 15 17:34:32 GMT 2021","Wed Dec 15 17:34:32 GMT 2021","11","","<SignUp/>","","<SignUp/>","render sign up page","render sign up page",""
"passed","Wed Dec 15 17:34:31 GMT 2021","Wed Dec 15 17:34:31 GMT 2021","8","","<Nav/>","","<Nav/>","render unauthorized nav items","render unauthorized nav items",""
"passed","Wed Dec 15 17:34:30 GMT 2021","Wed Dec 15 17:34:30 GMT 2021","22","","<AllPlacesLists/>","","<AllPlacesLists/>","render all places lists","render all places lists",""
"passed","Wed Dec 15 17:34:30 GMT 2021","Wed Dec 15 17:34:30 GMT 2021","2","","Places Service (Client)","","Places Service (Client)","getPlacesLists","getPlacesLists",""
"passed","Wed Dec 15 17:34:57 GMT 2021","Wed Dec 15 17:34:57 GMT 2021","1","","Service Authorization Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.service.AuthorizationServiceTest","sign in user","Sign in",""
"broken","Wed Dec 15 17:40:19 GMT 2021","Wed Dec 15 17:40:19 GMT 2021","214","","Selenide Authorization Tests (E2E)","","com.itmo.kkrukhmalev.places.tests.AuthorizationTest","Sign up and sign in","Sign up and sign in (chrome)",""
"passed","Wed Dec 15 17:34:58 GMT 2021","Wed Dec 15 17:34:58 GMT 2021","13","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","add list to added with exception","Add list to added (exception)",""
"passed","Wed Dec 15 17:34:57 GMT 2021","Wed Dec 15 17:34:57 GMT 2021","1","","Service Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.service.PlacesServiceTest","add place","Add place",""
"passed","Wed Dec 15 17:34:58 GMT 2021","Wed Dec 15 17:34:58 GMT 2021","6","","Controller Authorization Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.AuthorizationControllerTest","sign up failed","Sign up with incorrect data",""
"passed","Wed Dec 15 17:34:58 GMT 2021","Wed Dec 15 17:34:58 GMT 2021","15","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","get places list with error","Get place lists (error)",""
"passed","Wed Dec 15 17:34:31 GMT 2021","Wed Dec 15 17:34:31 GMT 2021","27","","<AddPlace/>","","<AddPlace/>","render add place item form","render add place item form",""
"passed","Wed Dec 15 17:34:30 GMT 2021","Wed Dec 15 17:34:30 GMT 2021","1","","Places Service (Client)","","Places Service (Client)","getPlacesList","getPlacesList",""
"passed","Wed Dec 15 17:34:32 GMT 2021","Wed Dec 15 17:34:32 GMT 2021","8","","<Unauthorized/>","","<Unauthorized/>","render unauthorized","render unauthorized",""
"passed","Wed Dec 15 17:34:30 GMT 2021","Wed Dec 15 17:34:30 GMT 2021","15","","<AddPlacesList/>","","<AddPlacesList/>","not render add places list item form for unauthorized","not render add places list item form for unauthorized",""
"passed","Wed Dec 15 17:34:32 GMT 2021","Wed Dec 15 17:34:32 GMT 2021","6","","<PlacesListItem/>","","<PlacesListItem/>","render places list item","render places list item",""
"passed","Wed Dec 15 17:34:31 GMT 2021","Wed Dec 15 17:34:31 GMT 2021","9","","<Nav/>","","<Nav/>","render authorized nav items","render authorized nav items",""
"broken","Wed Dec 15 17:40:19 GMT 2021","Wed Dec 15 17:40:19 GMT 2021","14","","Selenide Places Tests (E2E)","","com.itmo.kkrukhmalev.places.tests.PlacesTest","Sign up and create places list","Sign up and create places list (chrome)",""
"passed","Wed Dec 15 17:34:29 GMT 2021","Wed Dec 15 17:34:29 GMT 2021","33","","<PlacesList/>","","<PlacesList/>","render other places list when added","render other places list when added",""
"broken","Wed Dec 15 17:40:32 GMT 2021","Wed Dec 15 17:40:32 GMT 2021","10","","Selenide Places Tests (E2E)","","com.itmo.kkrukhmalev.places.tests.PlacesTest","Sign up and create places list","Sign up and create places list (firefox)",""
"passed","Wed Dec 15 17:34:58 GMT 2021","Wed Dec 15 17:34:58 GMT 2021","34","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","remove list from added with exception","Remove list from added (exception)",""
"passed","Wed Dec 15 17:34:58 GMT 2021","Wed Dec 15 17:34:58 GMT 2021","27","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","add places list","Add places list",""
"passed","Wed Dec 15 17:38:39 GMT 2021","Wed Dec 15 17:38:41 GMT 2021","1352","","PlacesList.spec.mjs","Places lists","","","Add new places list",""
"passed","Wed Dec 15 17:34:58 GMT 2021","Wed Dec 15 17:34:58 GMT 2021","34","","Controller Authorization Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.AuthorizationControllerTest","current user when authorized","Current user when authorized",""
"passed","Wed Dec 15 17:34:30 GMT 2021","Wed Dec 15 17:34:30 GMT 2021","8","","Places Service (Client)","","Places Service (Client)","currentUser","currentUser",""
"passed","Wed Dec 15 17:38:36 GMT 2021","Wed Dec 15 17:38:37 GMT 2021","1184","","a11y/Accessibility.spec.mjs","A11y","","","Home accessibility",""
"passed","Wed Dec 15 17:34:54 GMT 2021","Wed Dec 15 17:34:56 GMT 2021","1596","","System Authorization Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.system.AuthorizationSystemTest","all authorization operations","All authorization operations","Sign up, sign up with same credentials, sign in and sign out"
"broken","Wed Dec 15 17:40:32 GMT 2021","Wed Dec 15 17:40:32 GMT 2021","140","","Selenide Authorization Tests (E2E)","","com.itmo.kkrukhmalev.places.tests.AuthorizationTest","Sign up and sign in","Sign up and sign in (firefox)",""
"passed","Wed Dec 15 17:34:59 GMT 2021","Wed Dec 15 17:34:59 GMT 2021","15","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","add list to added when unauthorized","Add list to added (unauthorized)",""
"passed","Wed Dec 15 17:34:32 GMT 2021","Wed Dec 15 17:34:32 GMT 2021","30","","<App/>","","<App/>","render app","render app",""
"passed","Wed Dec 15 17:34:59 GMT 2021","Wed Dec 15 17:34:59 GMT 2021","11","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","remove list from added when unauthorized","Remove list from added (unauthorized)",""
"passed","Wed Dec 15 17:34:57 GMT 2021","Wed Dec 15 17:34:57 GMT 2021","2","","Service Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.service.PlacesServiceTest","remove list from added","Remove list from added",""
"passed","Wed Dec 15 17:34:57 GMT 2021","Wed Dec 15 17:34:57 GMT 2021","2","","Service Authorization Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.service.AuthorizationServiceTest","sign up user","Sign up",""
"passed","Wed Dec 15 17:34:31 GMT 2021","Wed Dec 15 17:34:31 GMT 2021","7","","<Preview/>","","<Preview/>","render authorized preview","render authorized preview",""
"passed","Wed Dec 15 17:34:57 GMT 2021","Wed Dec 15 17:34:57 GMT 2021","4","","Service Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.service.PlacesServiceTest","add places list","Add places list",""
"passed","Wed Dec 15 17:38:37 GMT 2021","Wed Dec 15 17:38:38 GMT 2021","649","","a11y/Accessibility.spec.mjs","A11y","","","Sign in accessibility",""
"passed","Wed Dec 15 17:34:30 GMT 2021","Wed Dec 15 17:34:30 GMT 2021","5","","<AllPlacesLists/>","","<AllPlacesLists/>","render empty places lists","render empty places lists",""
"passed","Wed Dec 15 17:34:57 GMT 2021","Wed Dec 15 17:34:57 GMT 2021","2","","Service Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.service.PlacesServiceTest","add list to added","Add list to added",""
"passed","Wed Dec 15 17:38:47 GMT 2021","Wed Dec 15 17:38:49 GMT 2021","1518","","SignUp.spec.mjs","Sign up","","","Sing up, sign out, sign in and check session",""
"passed","Wed Dec 15 17:34:29 GMT 2021","Wed Dec 15 17:34:29 GMT 2021","38","","<PlacesList/>","","<PlacesList/>","render other places list when not added","render other places list when not added",""
"passed","Wed Dec 15 17:34:58 GMT 2021","Wed Dec 15 17:34:58 GMT 2021","16","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","add places list with exception","Add places list (exception)",""
"passed","Wed Dec 15 17:34:59 GMT 2021","Wed Dec 15 17:34:59 GMT 2021","13","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","remove list from added","Remove list from added",""
"failed","Wed Dec 15 17:38:41 GMT 2021","Wed Dec 15 17:38:47 GMT 2021","6417","","PlacesList.spec.mjs","Places lists","","","Add new places list with place",""
"passed","Wed Dec 15 17:34:59 GMT 2021","Wed Dec 15 17:34:59 GMT 2021","14","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","get places list","Get place lists",""
"passed","Wed Dec 15 17:34:58 GMT 2021","Wed Dec 15 17:34:59 GMT 2021","36","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","get all places lists","Get all places lists",""
"passed","Wed Dec 15 17:34:57 GMT 2021","Wed Dec 15 17:34:57 GMT 2021","44","","Service Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.service.PlacesServiceTest","get places lists by user","Get places lists by user",""
"passed","Wed Dec 15 17:34:56 GMT 2021","Wed Dec 15 17:34:56 GMT 2021","312","","System Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.system.PlacesSystemTest","create and get places lists","Create and get places lists","Sign up, creates empty list and check that list exists"
"passed","Wed Dec 15 17:34:57 GMT 2021","Wed Dec 15 17:34:57 GMT 2021","1","","Service Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.service.PlacesServiceTest","get places list with place by id","Get places list with place by id",""
"passed","Wed Dec 15 17:34:30 GMT 2021","Wed Dec 15 17:34:30 GMT 2021","18","","<AddPlacesList/>","","<AddPlacesList/>","render add places list item form","render add places list item form",""
"passed","Wed Dec 15 17:34:57 GMT 2021","Wed Dec 15 17:34:57 GMT 2021","1","","Service Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.service.PlacesServiceTest","get all places lists","Get all places lists",""
"passed","Wed Dec 15 17:34:30 GMT 2021","Wed Dec 15 17:34:30 GMT 2021","23","","<MyPlacesLists/>","","<MyPlacesLists/>","render my places lists","render my places lists",""
