"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Render","Render add place form","0","0","1","0","0"
"Controller Tests (Backend)","Places Tests","Get all places lists","0","0","2","0","0"
"","Render","Render places list","0","0","4","0","0"
"Selenide Tests","Authorization Tests","Sign up and sign in","0","0","2","0","0"
"","Render","Render add places list","0","0","2","0","0"
"","","","0","0","6","0","0"
"Service Tests (Backend)","Places Tests","Get places lists by user","0","0","1","0","0"
"Service Tests (Backend)","Authorization Tests","Sign in","0","0","1","0","0"
"Controller Tests (Backend)","Authorization Tests","Get current user","0","0","2","0","0"
"Service Tests (Backend)","Authorization Tests","Sign up","0","0","1","0","0"
"","Render","Render preview","0","0","2","0","0"
"","Render","Render place item","0","0","1","0","0"
"Service Tests (Backend)","Places Tests","Add list to added","0","0","1","0","0"
"Unit Tests (Client)","Places Service","Get places lists","0","0","1","0","0"
"","Render","Render unauthorized page","0","0","1","0","0"
"","Render","Render nav items","0","0","2","0","0"
"Controller Tests (Backend)","Places Tests","Get place lists","0","0","2","0","0"
"Unit Tests (Client)","Places Service","Get current user","0","0","1","0","0"
"Service Tests (Backend)","Places Tests","Remove list from added","0","0","1","0","0"
"","Render","Render my places lists","0","0","1","0","0"
"","Render","Render all places lists","0","0","2","0","0"
"Controller Tests (Backend)","Places Tests","Remove list from added","0","0","3","0","0"
"Controller Tests (Backend)","Places Tests","Add list to added","0","0","3","0","0"
"Controller Tests (Backend)","Authorization Tests","Sign up","0","0","2","0","0"
"Controller Tests (Backend)","Authorization Tests","Sign in","0","0","2","0","0"
"Selenide Tests","Places Tests","Sign up and create places list","0","0","2","0","0"
"","Render","Render sign up page","0","0","1","0","0"
"","Render","Render places list item","0","0","1","0","0"
"System Tests (Backend)","Authorization Tests","User must sign up/sign in/sing out only with correct data","0","0","1","0","0"
"Service Tests (Backend)","Places Tests","Add places list","0","0","1","0","0"
"Service Tests (Backend)","Places Tests","Add place","0","0","1","0","0"
"Controller Tests (Backend)","Places Tests","Add places list","0","0","3","0","0"
"","Render","Render main page","0","0","2","0","0"
"Unit Tests (Client)","Places Service","Get places list","0","0","1","0","0"
"","Render","Render app","0","0","1","0","0"
"","Render","Render sign in page","0","0","1","0","0"
"Service Tests (Backend)","Places Tests","Get places list with place by id","0","0","1","0","0"
"System Tests (Backend)","Places Tests","User must see created lists","0","0","1","0","0"
"Service Tests (Backend)","Places Tests","Get all places lists","0","0","1","0","0"
