"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 26 14:57:54 GMT 2021","Fri Nov 26 14:57:54 GMT 2021","66","","<AddPlacesList/>","","<AddPlacesList/>","render add places list item form","render add places list item form",""
"passed","Fri Nov 26 14:57:55 GMT 2021","Fri Nov 26 14:57:55 GMT 2021","24","","<AddPlace/>","","<AddPlace/>","render add place item form","render add place item form",""
"passed","Fri Nov 26 14:57:23 GMT 2021","Fri Nov 26 14:57:23 GMT 2021","260","","Service Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.service.PlacesServiceTest","get places lists by user","Get places lists by user",""
"passed","Fri Nov 26 14:57:51 GMT 2021","Fri Nov 26 14:57:51 GMT 2021","5","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","add list to added with exception","Add list to added (exception)",""
"passed","Fri Nov 26 14:57:52 GMT 2021","Fri Nov 26 14:57:52 GMT 2021","50","","<PlacesList/>","","<PlacesList/>","render other places list when added","render other places list when added",""
"passed","Fri Nov 26 14:57:56 GMT 2021","Fri Nov 26 14:57:56 GMT 2021","20","","<SignUp/>","","<SignUp/>","render sign up page","render sign up page",""
"passed","Fri Nov 26 14:57:24 GMT 2021","Fri Nov 26 14:57:24 GMT 2021","3","","Service Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.service.PlacesServiceTest","add list to added","Add list to added",""
"passed","Fri Nov 26 14:57:55 GMT 2021","Fri Nov 26 14:57:55 GMT 2021","15","","<Nav/>","","<Nav/>","render unauthorized nav items","render unauthorized nav items",""
"passed","Fri Nov 26 14:57:49 GMT 2021","Fri Nov 26 14:57:49 GMT 2021","274","","System Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.system.PlacesSystemTest","create and get places lists","Create and get places lists","Sign up, creates empty list and check that list exists"
"passed","Fri Nov 26 14:57:50 GMT 2021","Fri Nov 26 14:57:50 GMT 2021","70","","Controller Authorization Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.AuthorizationControllerTest","sign in failed","Sign in with incorrect data",""
"passed","Fri Nov 26 14:57:53 GMT 2021","Fri Nov 26 14:57:53 GMT 2021","13","","Places Service (Client)","","Places Service (Client)","currentUser","currentUser",""
"passed","Fri Nov 26 14:57:24 GMT 2021","Fri Nov 26 14:57:24 GMT 2021","2","","Service Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.service.PlacesServiceTest","remove list from added","Remove list from added",""
"passed","Fri Nov 26 14:57:23 GMT 2021","Fri Nov 26 14:57:23 GMT 2021","7","","Service Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.service.PlacesServiceTest","get places list with place by id","Get places list with place by id",""
"passed","Fri Nov 26 14:57:53 GMT 2021","Fri Nov 26 14:57:53 GMT 2021","1","","Places Service (Client)","","Places Service (Client)","getPlacesList","getPlacesList",""
"failed","Fri Nov 26 15:01:37 GMT 2021","Fri Nov 26 15:01:44 GMT 2021","6656","","PlacesList.spec.mjs","Places lists","","","Add new places list",""
"passed","Fri Nov 26 14:57:48 GMT 2021","Fri Nov 26 14:57:49 GMT 2021","914","","System Authorization Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.system.AuthorizationSystemTest","all authorization operations","All authorization operations","Sign up, sign up with same credentials, sign in and sign out"
"passed","Fri Nov 26 14:57:50 GMT 2021","Fri Nov 26 14:57:50 GMT 2021","5","","Controller Authorization Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.AuthorizationControllerTest","current user when unauthorized","Current user when unauthorized",""
"passed","Fri Nov 26 14:57:23 GMT 2021","Fri Nov 26 14:57:23 GMT 2021","1","","Service Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.service.PlacesServiceTest","get all places lists","Get all places lists",""
"passed","Fri Nov 26 14:57:56 GMT 2021","Fri Nov 26 14:57:56 GMT 2021","21","","<PlaceItem/>","","<PlaceItem/>","render place item","render place item",""
"passed","Fri Nov 26 14:57:50 GMT 2021","Fri Nov 26 14:57:50 GMT 2021","10","","Controller Authorization Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.AuthorizationControllerTest","sign in success","Sign in with correct data",""
"passed","Fri Nov 26 14:57:51 GMT 2021","Fri Nov 26 14:57:51 GMT 2021","10","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","add places list","Add places list",""
"passed","Fri Nov 26 14:57:51 GMT 2021","Fri Nov 26 14:57:51 GMT 2021","4","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","add places list when unauthorized","Add places list (unauthorized)",""
"passed","Fri Nov 26 14:57:55 GMT 2021","Fri Nov 26 14:57:55 GMT 2021","10","","<Preview/>","","<Preview/>","render authorized preview","render authorized preview",""
"passed","Fri Nov 26 14:57:55 GMT 2021","Fri Nov 26 14:57:55 GMT 2021","9","","<MainPage/>","","<MainPage/>","render unauthorized main page","render unauthorized main page",""
"passed","Fri Nov 26 14:57:50 GMT 2021","Fri Nov 26 14:57:50 GMT 2021","28","","Controller Authorization Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.AuthorizationControllerTest","current user when authorized","Current user when authorized",""
"passed","Fri Nov 26 15:01:46 GMT 2021","Fri Nov 26 15:01:47 GMT 2021","1490","","PlacesList.spec.mjs","Places lists","","","Add new places list with place",""
"passed","Fri Nov 26 14:57:57 GMT 2021","Fri Nov 26 14:57:57 GMT 2021","19","","<Unauthorized/>","","<Unauthorized/>","render unauthorized","render unauthorized",""
"passed","Fri Nov 26 14:57:53 GMT 2021","Fri Nov 26 14:57:53 GMT 2021","21","","<AllPlacesLists/>","","<AllPlacesLists/>","render all places lists","render all places lists",""
"passed","Fri Nov 26 14:57:57 GMT 2021","Fri Nov 26 14:57:57 GMT 2021","8","","<PlacesListItem/>","","<PlacesListItem/>","render places list item","render places list item",""
"passed","Fri Nov 26 14:57:54 GMT 2021","Fri Nov 26 14:57:54 GMT 2021","36","","<MyPlacesLists/>","","<MyPlacesLists/>","render my places lists","render my places lists",""
"passed","Fri Nov 26 14:57:51 GMT 2021","Fri Nov 26 14:57:51 GMT 2021","10","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","get places list","Get place lists",""
"passed","Fri Nov 26 14:57:55 GMT 2021","Fri Nov 26 14:57:55 GMT 2021","34","","<MainPage/>","","<MainPage/>","render authorized main page","render authorized main page",""
"passed","Fri Nov 26 14:57:51 GMT 2021","Fri Nov 26 14:57:51 GMT 2021","5","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","remove list from added when unauthorized","Remove list from added (unauthorized)",""
