"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Dec 28 06:37:28 GMT 2021","Tue Dec 28 06:37:28 GMT 2021","4","","<AllPlacesLists/>","","<AllPlacesLists/>","render empty places lists","render empty places lists",""
"passed","Tue Dec 28 06:37:58 GMT 2021","Tue Dec 28 06:37:58 GMT 2021","5","","Service Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.service.PlacesServiceTest","get places list with place by id","Get places list with place by id",""
"passed","Tue Dec 28 06:37:31 GMT 2021","Tue Dec 28 06:37:31 GMT 2021","30","","<App/>","","<App/>","render app","render app",""
"passed","Tue Dec 28 06:38:00 GMT 2021","Tue Dec 28 06:38:00 GMT 2021","19","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","get all places lists","Get all places lists",""
"passed","Tue Dec 28 06:38:00 GMT 2021","Tue Dec 28 06:38:00 GMT 2021","6","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","remove list from added when unauthorized","Remove list from added (unauthorized)",""
"passed","Tue Dec 28 06:38:00 GMT 2021","Tue Dec 28 06:38:00 GMT 2021","6","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","get places lists with exception","Get all places lists (exception)",""
"passed","Tue Dec 28 06:37:30 GMT 2021","Tue Dec 28 06:37:30 GMT 2021","6","","<MainPage/>","","<MainPage/>","render unauthorized main page","render unauthorized main page",""
"passed","Tue Dec 28 06:37:58 GMT 2021","Tue Dec 28 06:37:58 GMT 2021","54","","Service Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.service.PlacesServiceTest","get places lists by user","Get places lists by user",""
"passed","Tue Dec 28 06:37:29 GMT 2021","Tue Dec 28 06:37:29 GMT 2021","11","","<Nav/>","","<Nav/>","render authorized nav items","render authorized nav items",""
"passed","Tue Dec 28 06:37:28 GMT 2021","Tue Dec 28 06:37:28 GMT 2021","90","","<PlacesList/>","","<PlacesList/>","render owner places list","render owner places list",""
"passed","Tue Dec 28 06:37:28 GMT 2021","Tue Dec 28 06:37:28 GMT 2021","26","","<PlacesList/>","","<PlacesList/>","render other places list when unauthorized","render other places list when unauthorized",""
"passed","Tue Dec 28 06:38:00 GMT 2021","Tue Dec 28 06:38:00 GMT 2021","8","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","get places list with error","Get place lists (error)",""
"passed","Tue Dec 28 06:37:28 GMT 2021","Tue Dec 28 06:37:28 GMT 2021","37","","<PlacesList/>","","<PlacesList/>","render other places list when not added","render other places list when not added",""
"passed","Tue Dec 28 06:37:59 GMT 2021","Tue Dec 28 06:37:59 GMT 2021","170","","Controller Authorization Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.AuthorizationControllerTest","sign in failed","Sign in with incorrect data",""
"passed","Tue Dec 28 06:41:38 GMT 2021","Tue Dec 28 06:41:38 GMT 2021","695","","a11y/Accessibility.spec.mjs","A11y","","","Sign in accessibility",""
"passed","Tue Dec 28 06:37:31 GMT 2021","Tue Dec 28 06:37:31 GMT 2021","11","","<SignUp/>","","<SignUp/>","render sign up page","render sign up page",""
"passed","Tue Dec 28 06:37:58 GMT 2021","Tue Dec 28 06:37:58 GMT 2021","4","","Service Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.service.PlacesServiceTest","add places list","Add places list",""
"passed","Tue Dec 28 06:37:31 GMT 2021","Tue Dec 28 06:37:31 GMT 2021","6","","<PlacesListItem/>","","<PlacesListItem/>","render places list item","render places list item",""
"passed","Tue Dec 28 06:38:00 GMT 2021","Tue Dec 28 06:38:00 GMT 2021","8","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","add list to added with exception","Add list to added (exception)",""
"passed","Tue Dec 28 06:37:55 GMT 2021","Tue Dec 28 06:37:57 GMT 2021","1870","","System Authorization Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.system.AuthorizationSystemTest","all authorization operations","All authorization operations","Sign up, sign up with same credentials, sign in and sign out"
"passed","Tue Dec 28 06:37:58 GMT 2021","Tue Dec 28 06:37:58 GMT 2021","4","","Service Authorization Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.service.AuthorizationServiceTest","sign in user","Sign in",""
"passed","Tue Dec 28 06:43:34 GMT 2021","Tue Dec 28 06:43:36 GMT 2021","2099","","Selenide Places Tests (E2E)","","com.itmo.kkrukhmalev.places.tests.PlacesTest","Sign up and create places list","Sign up and create places list (firefox)",""
"passed","Tue Dec 28 06:37:29 GMT 2021","Tue Dec 28 06:37:29 GMT 2021","8","","Places Service (Client)","","Places Service (Client)","getPlacesList","getPlacesList",""
"passed","Tue Dec 28 06:38:00 GMT 2021","Tue Dec 28 06:38:00 GMT 2021","8","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","add places list with exception","Add places list (exception)",""
"passed","Tue Dec 28 06:38:00 GMT 2021","Tue Dec 28 06:38:00 GMT 2021","7","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","add list to added when unauthorized","Add list to added (unauthorized)",""
"passed","Tue Dec 28 06:37:30 GMT 2021","Tue Dec 28 06:37:31 GMT 2021","14","","<SignIn/>","","<SignIn/>","render sign in page","render sign in page",""
"passed","Tue Dec 28 06:38:00 GMT 2021","Tue Dec 28 06:38:00 GMT 2021","13","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","add list to added","Add list to added",""
"passed","Tue Dec 28 06:38:00 GMT 2021","Tue Dec 28 06:38:00 GMT 2021","12","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","remove list from added","Remove list from added",""
"passed","Tue Dec 28 06:38:00 GMT 2021","Tue Dec 28 06:38:00 GMT 2021","15","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","get places list","Get place lists",""
"passed","Tue Dec 28 06:37:59 GMT 2021","Tue Dec 28 06:37:59 GMT 2021","50","","Controller Authorization Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.AuthorizationControllerTest","current user when authorized","Current user when authorized",""
"passed","Tue Dec 28 06:43:26 GMT 2021","Tue Dec 28 06:43:34 GMT 2021","7507","","Selenide Authorization Tests (E2E)","","com.itmo.kkrukhmalev.places.tests.AuthorizationTest","Sign up and sign in","Sign up and sign in (firefox)",""
"passed","Tue Dec 28 06:37:59 GMT 2021","Tue Dec 28 06:37:59 GMT 2021","10","","Controller Authorization Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.AuthorizationControllerTest","sign up failed","Sign up with incorrect data",""
"passed","Tue Dec 28 06:37:59 GMT 2021","Tue Dec 28 06:37:59 GMT 2021","8","","Controller Authorization Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.AuthorizationControllerTest","current user when unauthorized","Current user when unauthorized",""
"passed","Tue Dec 28 06:37:28 GMT 2021","Tue Dec 28 06:37:28 GMT 2021","22","","<AllPlacesLists/>","","<AllPlacesLists/>","render all places lists","render all places lists",""
"passed","Tue Dec 28 06:37:28 GMT 2021","Tue Dec 28 06:37:28 GMT 2021","33","","<PlacesList/>","","<PlacesList/>","render other places list when added","render other places list when added",""
"passed","Tue Dec 28 06:37:29 GMT 2021","Tue Dec 28 06:37:29 GMT 2021","17","","<AddPlacesList/>","","<AddPlacesList/>","render add places list item form","render add places list item form",""
"passed","Tue Dec 28 06:43:32 GMT 2021","Tue Dec 28 06:43:37 GMT 2021","4928","","Selenide Authorization Tests (E2E)","","com.itmo.kkrukhmalev.places.tests.AuthorizationTest","Sign up and sign in","Sign up and sign in (chrome)",""
"passed","Tue Dec 28 06:37:30 GMT 2021","Tue Dec 28 06:37:30 GMT 2021","21","","<MainPage/>","","<MainPage/>","render authorized main page","render authorized main page",""
"passed","Tue Dec 28 06:41:41 GMT 2021","Tue Dec 28 06:41:43 GMT 2021","1632","","PlacesList.spec.mjs","Places lists","","","Add new places list with place",""
"passed","Tue Dec 28 06:41:38 GMT 2021","Tue Dec 28 06:41:39 GMT 2021","649","","a11y/Accessibility.spec.mjs","A11y","","","Sign up accessibility",""
"passed","Tue Dec 28 06:41:37 GMT 2021","Tue Dec 28 06:41:38 GMT 2021","1232","","a11y/Accessibility.spec.mjs","A11y","","","Home accessibility",""
"passed","Tue Dec 28 06:37:30 GMT 2021","Tue Dec 28 06:37:30 GMT 2021","29","","<AddPlace/>","","<AddPlace/>","render add place item form","render add place item form",""
"passed","Tue Dec 28 06:38:00 GMT 2021","Tue Dec 28 06:38:00 GMT 2021","15","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","add places list","Add places list",""
"passed","Tue Dec 28 06:37:59 GMT 2021","Tue Dec 28 06:37:59 GMT 2021","69","","Controller Authorization Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.AuthorizationControllerTest","sign up success","Sign up with correct data",""
