"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Dec 13 07:38:46 GMT 2021","Mon Dec 13 07:38:46 GMT 2021","9","","<Unauthorized/>","","<Unauthorized/>","render unauthorized","render unauthorized",""
"passed","Mon Dec 13 07:38:44 GMT 2021","Mon Dec 13 07:38:44 GMT 2021","18","","<AddPlacesList/>","","<AddPlacesList/>","render add places list item form","render add places list item form",""
"passed","Mon Dec 13 07:39:06 GMT 2021","Mon Dec 13 07:39:06 GMT 2021","5","","Service Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.service.PlacesServiceTest","get places list with place by id","Get places list with place by id",""
"passed","Mon Dec 13 07:38:43 GMT 2021","Mon Dec 13 07:38:43 GMT 2021","4","","<AllPlacesLists/>","","<AllPlacesLists/>","render empty places lists","render empty places lists",""
"passed","Mon Dec 13 07:38:44 GMT 2021","Mon Dec 13 07:38:44 GMT 2021","27","","<MyPlacesLists/>","","<MyPlacesLists/>","render my places lists","render my places lists",""
"passed","Mon Dec 13 07:38:45 GMT 2021","Mon Dec 13 07:38:45 GMT 2021","8","","<PlaceItem/>","","<PlaceItem/>","render place item","render place item",""
"passed","Mon Dec 13 07:38:44 GMT 2021","Mon Dec 13 07:38:44 GMT 2021","14","","<AddPlacesList/>","","<AddPlacesList/>","not render add places list item form for unauthorized","not render add places list item form for unauthorized",""
"passed","Mon Dec 13 07:39:06 GMT 2021","Mon Dec 13 07:39:06 GMT 2021","4","","Service Authorization Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.service.AuthorizationServiceTest","sign up user","Sign up",""
"passed","Mon Dec 13 07:38:44 GMT 2021","Mon Dec 13 07:38:44 GMT 2021","9","","<Nav/>","","<Nav/>","render authorized nav items","render authorized nav items",""
"passed","Mon Dec 13 07:39:06 GMT 2021","Mon Dec 13 07:39:06 GMT 2021","0","","Service Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.service.PlacesServiceTest","get all places lists","Get all places lists",""
"passed","Mon Dec 13 07:38:45 GMT 2021","Mon Dec 13 07:38:45 GMT 2021","20","","<MainPage/>","","<MainPage/>","render authorized main page","render authorized main page",""
"passed","Mon Dec 13 07:38:43 GMT 2021","Mon Dec 13 07:38:43 GMT 2021","1","","Places Service (Client)","","Places Service (Client)","getPlacesList","getPlacesList",""
"passed","Mon Dec 13 07:39:07 GMT 2021","Mon Dec 13 07:39:07 GMT 2021","27","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","get places list","Get place lists",""
"passed","Mon Dec 13 07:38:43 GMT 2021","Mon Dec 13 07:38:43 GMT 2021","21","","<PlacesList/>","","<PlacesList/>","render other places list when unauthorized","render other places list when unauthorized",""
"passed","Mon Dec 13 07:38:43 GMT 2021","Mon Dec 13 07:38:43 GMT 2021","38","","<PlacesList/>","","<PlacesList/>","render other places list when added","render other places list when added",""
"passed","Mon Dec 13 07:38:43 GMT 2021","Mon Dec 13 07:38:43 GMT 2021","38","","<PlacesList/>","","<PlacesList/>","render other places list when not added","render other places list when not added",""
"passed","Mon Dec 13 07:39:07 GMT 2021","Mon Dec 13 07:39:07 GMT 2021","7","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","get places lists with exception","Get all places lists (exception)",""
"passed","Mon Dec 13 07:39:07 GMT 2021","Mon Dec 13 07:39:07 GMT 2021","10","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","add list to added with exception","Add list to added (exception)",""
"passed","Mon Dec 13 07:38:44 GMT 2021","Mon Dec 13 07:38:44 GMT 2021","7","","<Nav/>","","<Nav/>","render unauthorized nav items","render unauthorized nav items",""
"passed","Mon Dec 13 07:38:46 GMT 2021","Mon Dec 13 07:38:46 GMT 2021","10","","<SignUp/>","","<SignUp/>","render sign up page","render sign up page",""
"passed","Mon Dec 13 07:39:07 GMT 2021","Mon Dec 13 07:39:07 GMT 2021","83","","Controller Authorization Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.AuthorizationControllerTest","sign in failed","Sign in with incorrect data",""
"passed","Mon Dec 13 07:38:45 GMT 2021","Mon Dec 13 07:38:45 GMT 2021","7","","<MainPage/>","","<MainPage/>","render unauthorized main page","render unauthorized main page",""
"passed","Mon Dec 13 07:38:45 GMT 2021","Mon Dec 13 07:38:45 GMT 2021","8","","<Preview/>","","<Preview/>","render authorized preview","render authorized preview",""
"passed","Mon Dec 13 07:39:07 GMT 2021","Mon Dec 13 07:39:07 GMT 2021","41","","Controller Authorization Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.AuthorizationControllerTest","sign up success","Sign up with correct data",""
"passed","Mon Dec 13 07:39:07 GMT 2021","Mon Dec 13 07:39:07 GMT 2021","27","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","get all places lists","Get all places lists",""
"passed","Mon Dec 13 07:39:07 GMT 2021","Mon Dec 13 07:39:07 GMT 2021","29","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","add places list","Add places list",""
"passed","Mon Dec 13 07:43:24 GMT 2021","Mon Dec 13 07:43:26 GMT 2021","1786","","PlacesList.spec.mjs","Places lists","","","Add new places list with place",""
"passed","Mon Dec 13 07:38:45 GMT 2021","Mon Dec 13 07:38:45 GMT 2021","16","","<SignIn/>","","<SignIn/>","render sign in page","render sign in page",""
"passed","Mon Dec 13 07:39:06 GMT 2021","Mon Dec 13 07:39:06 GMT 2021","2","","Service Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.service.PlacesServiceTest","remove list from added","Remove list from added",""
"passed","Mon Dec 13 07:39:07 GMT 2021","Mon Dec 13 07:39:07 GMT 2021","6","","Controller Authorization Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.AuthorizationControllerTest","sign up failed","Sign up with incorrect data",""
"passed","Mon Dec 13 07:43:26 GMT 2021","Mon Dec 13 07:43:28 GMT 2021","1496","","SignUp.spec.mjs","Sign up","","","Sing up, sign out, sign in and check session",""
"passed","Mon Dec 13 07:39:06 GMT 2021","Mon Dec 13 07:39:06 GMT 2021","3","","Service Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.service.PlacesServiceTest","add places list","Add places list",""
"passed","Mon Dec 13 07:39:07 GMT 2021","Mon Dec 13 07:39:07 GMT 2021","19","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","remove list from added with exception","Remove list from added (exception)",""
"passed","Mon Dec 13 07:39:05 GMT 2021","Mon Dec 13 07:39:05 GMT 2021","283","","System Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.system.PlacesSystemTest","create and get places lists","Create and get places lists","Sign up, creates empty list and check that list exists"
"passed","Mon Dec 13 07:39:04 GMT 2021","Mon Dec 13 07:39:05 GMT 2021","1358","","System Authorization Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.system.AuthorizationSystemTest","all authorization operations","All authorization operations","Sign up, sign up with same credentials, sign in and sign out"
"passed","Mon Dec 13 07:38:46 GMT 2021","Mon Dec 13 07:38:46 GMT 2021","6","","<PlacesListItem/>","","<PlacesListItem/>","render places list item","render places list item",""
"passed","Mon Dec 13 07:39:07 GMT 2021","Mon Dec 13 07:39:07 GMT 2021","9","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","get places list with error","Get place lists (error)",""
"passed","Mon Dec 13 07:39:07 GMT 2021","Mon Dec 13 07:39:07 GMT 2021","6","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","remove list from added when unauthorized","Remove list from added (unauthorized)",""
"passed","Mon Dec 13 07:39:07 GMT 2021","Mon Dec 13 07:39:07 GMT 2021","10","","Controller Authorization Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.AuthorizationControllerTest","sign in success","Sign in with correct data",""
"passed","Mon Dec 13 07:38:43 GMT 2021","Mon Dec 13 07:38:43 GMT 2021","14","","<AllPlacesLists/>","","<AllPlacesLists/>","render all places lists","render all places lists",""
"passed","Mon Dec 13 07:38:45 GMT 2021","Mon Dec 13 07:38:45 GMT 2021","7","","<Preview/>","","<Preview/>","render unauthorized preview","render unauthorized preview",""
"passed","Mon Dec 13 07:39:07 GMT 2021","Mon Dec 13 07:39:07 GMT 2021","6","","Controller Authorization Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.AuthorizationControllerTest","current user when unauthorized","Current user when unauthorized",""
"passed","Mon Dec 13 07:39:06 GMT 2021","Mon Dec 13 07:39:06 GMT 2021","2","","Service Authorization Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.service.AuthorizationServiceTest","sign in user","Sign in",""
"passed","Mon Dec 13 07:39:07 GMT 2021","Mon Dec 13 07:39:07 GMT 2021","10","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","remove list from added","Remove list from added",""
"passed","Mon Dec 13 07:38:43 GMT 2021","Mon Dec 13 07:38:43 GMT 2021","2","","Places Service (Client)","","Places Service (Client)","getPlacesLists","getPlacesLists",""
"passed","Mon Dec 13 07:43:22 GMT 2021","Mon Dec 13 07:43:24 GMT 2021","2213","","PlacesList.spec.mjs","Places lists","","","Add new places list",""
"passed","Mon Dec 13 07:39:07 GMT 2021","Mon Dec 13 07:39:07 GMT 2021","12","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","add list to added","Add list to added",""
"passed","Mon Dec 13 07:39:06 GMT 2021","Mon Dec 13 07:39:06 GMT 2021","1","","Service Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.service.PlacesServiceTest","add place","Add place",""
"passed","Mon Dec 13 07:38:45 GMT 2021","Mon Dec 13 07:38:45 GMT 2021","28","","<AddPlace/>","","<AddPlace/>","render add place item form","render add place item form",""
"passed","Mon Dec 13 07:39:06 GMT 2021","Mon Dec 13 07:39:06 GMT 2021","46","","Service Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.service.PlacesServiceTest","get places lists by user","Get places lists by user",""
"passed","Mon Dec 13 07:38:43 GMT 2021","Mon Dec 13 07:38:43 GMT 2021","81","","<PlacesList/>","","<PlacesList/>","render owner places list","render owner places list",""
"passed","Mon Dec 13 07:39:07 GMT 2021","Mon Dec 13 07:39:07 GMT 2021","10","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","add places list with exception","Add places list (exception)",""
"passed","Mon Dec 13 07:39:07 GMT 2021","Mon Dec 13 07:39:07 GMT 2021","31","","Controller Authorization Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.AuthorizationControllerTest","current user when authorized","Current user when authorized",""
"passed","Mon Dec 13 07:39:07 GMT 2021","Mon Dec 13 07:39:07 GMT 2021","7","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","add list to added when unauthorized","Add list to added (unauthorized)",""
"passed","Mon Dec 13 07:39:06 GMT 2021","Mon Dec 13 07:39:06 GMT 2021","2","","Service Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.service.PlacesServiceTest","add list to added","Add list to added",""
"passed","Mon Dec 13 07:38:46 GMT 2021","Mon Dec 13 07:38:46 GMT 2021","39","","<App/>","","<App/>","render app","render app",""
"passed","Mon Dec 13 07:38:43 GMT 2021","Mon Dec 13 07:38:43 GMT 2021","3","","Places Service (Client)","","Places Service (Client)","currentUser","currentUser",""
"passed","Mon Dec 13 07:39:07 GMT 2021","Mon Dec 13 07:39:07 GMT 2021","5","","Controller Places Tests (Backend)","","com.itmo.kkrukhmalev.places.backend.controller.PlacesControllerTest","add places list when unauthorized","Add places list (unauthorized)",""
